temperature_midi,humidity_midi,wind_midi,wind_norm,pressure_midi,rain_hits
65.92307692307692,58.23076923076923,38.46153846153846,0.2325,47.92307692307692,0
64.92307692307692,59.53846153846154,38.15384615384615,0.2325,47.0,0
66.23076923076923,58.46153846153846,38.0,0.185,47.0,0
65.15384615384616,59.07692307692308,38.0,0.185,47.0,0
67.0,57.30769230769231,39.84615384615385,0.325,46.23076923076923,0
67.0,58.38461538461539,40.92307692307692,0.4625,44.23076923076923,0
67.0,59.30769230769231,41.69230769230769,0.4625,40.92307692307692,16
67.0,59.69230769230769,38.0,0.185,40.0,2
66.23076923076923,59.69230769230769,38.61538461538461,0.27749999999999997,39.84615384615385,0
66.23076923076923,59.46153846153846,40.61538461538461,0.4175,38.0,7
65.92307692307692,59.0,43.0,0.4625,39.69230769230769,2
66.23076923076923,57.92307692307692,41.07692307692308,0.4625,40.0,0
65.0,59.30769230769231,38.76923076923077,0.325,40.0,2
65.76923076923077,57.46153846153846,42.76923076923077,0.4625,40.0,7
65.0,58.84615384615385,43.0,0.4625,40.0,0
65.0,57.61538461538461,45.0,0.6025,40.0,10
65.0,57.76923076923077,45.0,0.6025,41.84615384615385,6
64.6923076923077,55.76923076923077,44.07692307692308,0.6475,43.0,0
64.3076923076923,57.15384615384615,43.76923076923077,0.51,43.0,1
65.0,58.07692307692308,44.23076923076923,0.5549999999999999,40.69230769230769,8
65.61538461538461,57.0,43.30769230769231,0.51,42.30769230769231,0
65.0,57.92307692307692,39.76923076923077,0.4625,42.76923076923077,7
66.38461538461539,57.46153846153846,47.07692307692308,0.7875,40.69230769230769,0
65.15384615384616,57.46153846153846,40.69230769230769,0.4625,41.61538461538461,0
65.92307692307692,57.30769230769231,42.15384615384615,0.51,40.0,0
64.15384615384616,59.15384615384615,39.69230769230769,0.27749999999999997,41.84615384615385,0
65.23076923076923,58.61538461538461,40.07692307692308,0.4625,43.0,0
66.84615384615384,59.0,43.0,0.4625,40.46153846153846,4
67.15384615384616,59.0,43.92307692307692,0.5549999999999999,40.0,0
67.0,57.76923076923077,45.84615384615385,0.7875,40.0,7
65.61538461538461,57.61538461538461,42.07692307692308,0.6950000000000001,42.07692307692308,0
65.46153846153847,58.53846153846154,41.61538461538461,0.5549999999999999,43.0,0
65.61538461538461,57.92307692307692,43.46153846153846,0.5549999999999999,43.0,3
68.23076923076923,59.0,48.0,0.7875,43.0,0
69.0,58.23076923076923,48.92307692307692,0.8800000000000001,43.0,8
68.84615384615384,58.84615384615385,43.92307692307692,0.5549999999999999,43.0,8
67.0,59.0,38.61538461538461,0.325,43.0,1
68.53846153846153,59.23076923076923,39.53846153846154,0.325,43.0,5
67.46153846153847,59.0,39.07692307692308,0.2325,43.0,0
67.61538461538461,59.23076923076923,38.92307692307692,0.27749999999999997,43.0,0
67.0,59.46153846153846,38.0,0.185,43.0,0
67.0,59.23076923076923,38.46153846153846,0.2325,43.0,5
67.0,59.0,38.46153846153846,0.325,44.23076923076923,0
65.76923076923077,58.84615384615385,39.38461538461539,0.325,45.0,0
65.76923076923077,59.0,38.92307692307692,0.325,45.0,0
67.0,59.0,38.61538461538461,0.27749999999999997,43.61538461538461,7
67.0,58.69230769230769,40.38461538461539,0.37,43.0,2
65.0,59.0,38.46153846153846,0.2325,43.0,0
65.92307692307692,59.07692307692308,40.76923076923077,0.4625,41.84615384615385,12
67.0,58.53846153846154,43.07692307692308,0.51,40.23076923076923,6
66.6923076923077,58.69230769230769,39.07692307692308,0.325,43.0,3
65.0,59.92307692307692,40.69230769230769,0.4175,43.0,20
65.0,59.0,41.84615384615385,0.4625,44.53846153846154,15
65.0,58.69230769230769,44.07692307692308,0.6475,45.0,13
65.0,57.0,47.46153846153846,0.7875,45.0,6
65.0,58.53846153846154,45.0,0.6950000000000001,45.0,10
65.0,58.07692307692308,41.38461538461539,0.4625,45.0,1
64.76923076923077,57.92307692307692,39.38461538461539,0.27749999999999997,45.0,0
64.15384615384616,58.38461538461539,42.53846153846154,0.4175,46.07692307692308,0
64.23076923076923,57.46153846153846,41.84615384615385,0.37,47.0,0
62.30769230769231,58.69230769230769,39.69230769230769,0.27749999999999997,46.69230769230769,1
63.84615384615385,59.46153846153846,38.84615384615385,0.37,45.0,13
64.0,59.15384615384615,44.23076923076923,0.5549999999999999,45.0,11
63.23076923076923,57.15384615384615,43.0,0.4625,45.0,4
62.30769230769231,57.15384615384615,43.61538461538461,0.51,45.0,1
63.84615384615385,58.23076923076923,41.61538461538461,0.4625,46.07692307692308,12
62.46153846153846,58.53846153846154,40.0,0.325,47.0,2
64.0,57.76923076923077,41.38461538461539,0.4175,46.38461538461539,2
64.46153846153847,59.0,40.92307692307692,0.4625,45.0,4
64.07692307692308,59.07692307692308,38.15384615384615,0.2325,43.46153846153846,0
64.61538461538461,59.0,39.23076923076923,0.325,40.23076923076923,8
64.0,59.07692307692308,39.30769230769231,0.37,40.0,6
64.92307692307692,58.84615384615385,43.15384615384615,0.51,41.38461538461539,13
64.0,59.0,43.0,0.4175,44.23076923076923,13
64.38461538461539,58.07692307692308,40.69230769230769,0.37,45.76923076923077,1
62.46153846153846,59.0,39.53846153846154,0.27749999999999997,46.69230769230769,0
64.6923076923077,59.0,42.84615384615385,0.51,44.84615384615385,7
67.0,59.0,45.15384615384615,0.6950000000000001,43.0,0
67.46153846153847,57.61538461538461,49.76923076923077,0.925,43.0,0
66.53846153846153,57.0,50.46153846153846,0.9724999999999999,42.76923076923077,2
65.0,57.0,46.84615384615385,0.8800000000000001,42.30769230769231,2
64.53846153846153,59.0,39.61538461538461,0.4175,43.0,8
64.07692307692308,58.38461538461539,44.84615384615385,0.6025,43.0,8
64.07692307692308,57.0,42.38461538461539,0.6025,44.53846153846154,0
64.46153846153847,58.69230769230769,41.61538461538461,0.4175,42.23076923076923,7
66.38461538461539,59.0,40.46153846153846,0.37,39.23076923076923,13
65.76923076923077,57.61538461538461,44.07692307692308,0.6025,39.38461538461539,3
65.0,57.76923076923077,41.38461538461539,0.4175,42.30769230769231,0
64.15384615384616,59.0,38.30769230769231,0.27749999999999997,43.0,0
64.46153846153847,58.38461538461539,40.0,0.325,43.0,0
64.53846153846153,59.0,40.0,0.27749999999999997,41.15384615384615,1
64.84615384615384,59.30769230769231,39.53846153846154,0.27749999999999997,41.61538461538461,11
64.3076923076923,59.38461538461539,40.46153846153846,0.37,43.0,4
65.0,59.0,43.46153846153846,0.6025,39.38461538461539,9
65.0,59.0,38.30769230769231,0.2325,39.07692307692308,5
65.0,59.46153846153846,38.92307692307692,0.2325,40.69230769230769,0
65.0,59.07692307692308,38.84615384615385,0.37,41.15384615384615,7
65.0,58.69230769230769,44.38461538461539,0.6475,40.0,2
66.38461538461539,57.30769230769231,43.07692307692308,0.5549999999999999,43.0,0
